ULICA;LOKACIJA (OPIS);GRADSKA ÈETVRT
Sesvetska Sopnica, Prelèeva 20;uz Prelèevu ulicu;SESVETE
Luka,Bistrièka 1;uz prilaz parkirališta i objekta Vodoprivrede;SESVETE
Križanje Potoènica-Narcisa;sjeverna strana;SESVETE
144. brigade;Na poèetku ulice 144 brigade, Novi Jelkovec;SESVETE
Ulica Rimski put 6;iza kapelice, uz južnu stranu ceste, prije kuænog broja 1;SESVETE
Spoj Ninske i Zagrebaèke ulice;zapadno od Doma zdravlja Sesvete;SESVETE
Dobrodolska cesta;nasuprot kuænog broja 5a;SESVETE
Vurnoveèka;nasuprot kuænog broja 10;SESVETE
Vugrovec Donji;sjeverna strana križanja Bregovita-ul. Matije Gupca 15;SESVETE
Jesenoveèka cesta 44;neposredna blizina okretišta busa;SESVETE
Ulica Kneza Adama;proširenje sa sjeverne strane zapadno od mosta;SESVETE
Ulica Lovre Sediniæa, Vurnovec;Ulaz u ulicu Lovre Sediniæa iz Stjepana Vojnoviæa;SESVETE
Brestoveèka 55;;SESVETE
Brestoveèka 2a;;SESVETE
Franjèeviæeva ;ugao sa I.Dumoveèki lug;SESVETE
Hukavèeva,Šašinovec;javno dobro;SESVETE
Ivice Periæa 11;Iver naselje;SESVETE
Marochinijev put 3;prostor izmeðu Marochijevog puta i ulice Turèinski put, (prošireni prostor, javno dobro);SESVETE
Nazora Vladimira 6;ugao sa Budimskom;SESVETE
Prigorska 80,Glavnica;sjeverno od objekta mjesne samouprave;SESVETE
Selèinska 19;;SESVETE
Šimunèeveèka cesta 12;iza okretišta autobusa;SESVETE
Ulica Bedema ljubavi 5d;;SESVETE
Varaždinska ulica 2, S.Kraljevec;;SESVETE
Vatrogasna ulica;križanje Vatrogasne ulice i Livadarske ceste, uz napušteni poslovni prostor;SESVETE
Izmeðu Baèke i Banatske ulice;;SESVETE
Ulica Breza;nasuprot kuænog broja 26;DONJA DUBRAVA
Spoj Štefanoveèke i ul. kneza Branimira;;DONJA DUBRAVA
Resnièki put;ispred kuænog broja 57;DONJA DUBRAVA
Vrpoljska 10;objekt Mjesne samouprave;DONJA DUBRAVA
Spoj I. Retkovca i ulice Breza;;DONJA DUBRAVA
II. Resnièki gaj;ispred kuænog broja 8;DONJA DUBRAVA
Sopnièka ulica 65;;DONJA DUBRAVA
Cerièka 3;;DONJA DUBRAVA
Štefanoveèki zavoj 10;kod Plodina;DONJA DUBRAVA
Dankovec, Slanoveèka cesta 19;uz objekt Mjesne samouprave;GORNJA DUBRAVA
Miroševeèka cesta 110;;GORNJA DUBRAVA
Stara Oporoveèka;kod taxi stajališta;GORNJA DUBRAVA
